1861,analogy,類似点
1862,irrigation,灌漑
1863,coverage,報道
1864,cuisine,料理
1865,menace,脅威
1866,peril,危険
1867,limb,手足
1868,assault,攻撃
1869,hatred,憎しみ
1870,autonomy,自主性
1871,cram,塾
1872,subsidy,補助金
1873,empathy,共感
1874,slang,俗語
1875,posture,姿勢
1876,Ideology,イデオロギー
1877,curse,災いのもと
1878,tumor,腫瘍
1879,intersection,交差点
1880,duration,期間
1881,deforestation,森林破壊
1882,precaution,用心
1883,bunch,ひとたばの
1884,shortcoming,欠点
1885,aspiration,熱望
1886,psychiatrist,精神科医
1887,shipping,発送
1888,senator,上院議員
1889,statesman,政治家
1890,subordinate,部下
1891,vacuum,空白
1892,quest,探究
1893,meditation,瞑想
1894,subscriber,加入者
1895,riddle,謎
1896,rag,ぼろ
1897,rust,さび
1898,sanitation,衛生
1899,midst,まっただ中
1900,mischief,いたずら
1901,proficiency,検定
1902,recollection,記憶
1903,latitude,緯
1904,friction,摩擦
1905,botanist,植物学者
1906,heredity,遺伝
1907,contempt,軽蔑
1908,anatomy,構造
1909,integrity,誠実
1910,cargo,貨物
1911,bribe,わいろ
1912,eruption,噴火
1913,funeral,葬式
1914,deficit,赤字
1915,bulk,大部分
1916,millionaire,百万長者
1917,ash,灰
1918,realm,領域
1919,plantation,農園
1920,plow,すき
1921,vending,販売
1922,orphan,孤児
1923,neuron,神経細胞
1924,vegetation,植生
1925,warrior,戦士
1926,mutation,突然変異
1927,sewage,下水
1928,paradigm,理論的枠組
1929,protocol,議定書
1930,skyscraper,高層ビル
1931,accord,一致
1932,bureaucrat,官僚
1933,array,多彩
1934,clash,衝突
1935,torture,拷問
1936,reign,統治
1057,bay,湾
1058,penalty,刑
1059,heritage,遺産
1060,diversity,多様性
1061,thumb,親指
1062,geography,地理
1063,factor,要因
1064,discrimination,差別
1065,virus,ウイルス
1066,statue,像
1067,priest,神父
1068,pioneer,先駆者
1069,trait,特徴
1070,bond,きずな
1071,grocery,食料品
1072,secretary,秘書
1073,dialect,方言
1074,astronomy,天文学
1075,youngster,子供
1076,substance,物質
1077,finding,発見
1078,strategy,戦略
1079,lung,肺
1080,opponent,敵
1081,ritual,儀式
1082,outcome,結果
1083,conservation,環境保護
1084,mammal,哺乳類
1085,telescope,望遠鏡
1086,refugee,難民
1087,code,規則
1088,flavor,風味
1089,particle,粒子
1090,nursing,看護
1091,suicide,自殺
1092,habitat,生息地
1093,bullying,いじめ
1094,dinosaur,恐竜
1095,council,議会
1096,gender,性別
1097,surgery,手術
1098,innovation,革新
1099,protein,タンパク質
1100,nutrition,栄養
1101,disaster,災害
1102,emission,排出
1103,ape,類人猿
1104,molecule,分子
1105,sweat,汗
1106,transplant,移植
1943,renowned,有名な
1944,transparent,透き通った
1945,dim,薄暗い
1946,legitimate,正当な
1947,adverse,悪
1948,swift,すばやい
1949,naive,世間知らずの
1950,dumb,ばか
1951,gloomy,暗い
1952,furious,激怒した
1953,earnest,まじめな
1954,terrific,すばらしい
1955,vertical,垂直な
1956,wicked,邪悪な
1957,subjective,主観的な
1958,enlightened,進んだ考えの
1959,authentic,本物の
1960,brutal,残忍な
1961,dizzy,めまい
1962,sheer,まったくの
1963,naughty,いたずらな
1964,damp,湿った
1965,static,静的な
1966,doomed,運命にある
1967,respiratory,呼吸器に関する、呼吸の
1968,innumerable,無数の
1969,clumsy,不器用な
1970,aesthetic,美的
1971,obsessed,とりつかれている
1972,detached,切り離された
1973,wrecked,難破した
1974,reckless,無謀な
1975,arrogant,傲慢な
1976,preoccupied,頭がいっぱいだ
1977,gigantic,巨大な
1978,conspicuous,顕著な
1979,slender,すらりとした
1980,manifest,明らかな
1981,tidy,きちんと
1982,skeptical,懐疑的な
1983,notorious,悪名高い
1984,anonymous,匿名の
1985,monotonous,単調な
1986,ample,豊富に
1987,trim,こぎれいな
1988,savage,野蛮な
1989,coherent,一貫した
1990,eloquent,雄弁な
1991,foul,不快な
1992,juvenile,青少年の
1993,compulsory,義務的な
1994,prone,やすい
1995,arbitrary,勝手な
1996,ingenious,独創的な
1997,divine,神聖なる
1998,tender,やさしい
1999,outraged,憤慨している
2000,intrinsic,本来の
2001,paralyzed,麻痺している
2002,compatible,適合する
2003,patriotic,愛国的な
2004,eminent,名高い
2005,potent,強力な
2006,insane,正気を失っている
2007,staple,主要な
2008,secondhand,間接
2009,indigenous,先住
2010,utmost,最も
2011,integral,不可欠な
2012,intricate,複雑な
2013,demographics,人口統計の
2014,mighty,強力な
2015,intact,無傷の
2016,intent,決意をしている
2017,intriguing,興味深い
2018,merry,陽気な
2019,perpetual,永続する
2020,spinal,脊椎の
2021,susceptible,かかりやすい
2022,mandatory,義務的な
